ident,npd,total_qty,iso_count,rows
PS219,8,5.0,5,5
PS221,1,37.0,33,33
PS221,2,5.0,5,5
PS401,1,5.0,4,4
PS401,10,2.0,2,2
PS401,2,1.0,1,1
PS401,3,1.0,1,1
PS401,4,1.0,1,1
PS401,6,6.0,6,6
PS401,8,7.0,5,6
PS402,14,1.0,1,1
PS402,2,3.0,2,2
PS404,4,2.0,2,2
PS405,8,1.0,0,1
PS406,1,1.0,1,1
PS406,10,3.0,2,2
PS406,14,2.0,2,2
PS406,2,10.0,3,8
PS406,3,2.0,1,2
PS406,4,5.0,5,5
PS406,6,4.0,3,4
PS406,8,25.0,17,25
PS407,1,3.0,3,3
PS407,10,2.0,2,2
PS407,4,3.0,3,3
PS407,6,8.0,8,8
PS407,8,28.0,22,28
PS410,1,1.0,1,1
PS410,8,4.0,1,2
PS412,10,1.0,1,1
PS412,16,1.0,1,1
PS412,2,1.0,1,1
PS412,3,3.0,3,3
PS412,4,3.0,2,2
PS412,6,1.0,1,1
PS412,8,6.0,5,6
PS413,1,2.0,2,2
PS413,10,4.0,3,3
PS413,12,1.0,1,1
PS413,14,1.0,1,1
PS413,16,4.0,3,3
PS413,2,4.0,4,4
PS413,24,2.0,1,1
PS413,3,1.0,1,1
PS413,4,2.0,2,2
PS413,6,4.0,4,4
PS413,8,12.0,7,7
PS418,2,1.0,1,1
PS418,4,1.0,1,1
PS426,12,1.0,1,1
PS429,8,1.0,1,1
PS430,1,4.0,3,4
PS430,10,1.0,1,1
PS430,14,1.0,1,1
PS430,2,6.0,2,4
PS430,3,2.0,2,2
PS430,4,2.0,2,2
PS430,8,11.0,8,9
PS431,12,1.0,1,1
PS431,4,1.0,1,1
PS432,16,1.0,1,1
PS432,24,2.0,1,1
PS432,8,1.0,1,1
PS433,1,229.0,87,87
PS433,12,4.0,4,4
PS433,16,4.0,2,2
PS433,2,138.0,44,46
PS433,3/4,11.0,5,5
PS433,4,9.0,5,5
PS433,6,5.0,4,4
PS433,8,23.0,10,10
PS434,1,6.0,3,4
PS434,2,21.0,10,18
PS434,3,8.0,5,7
PS434,4,12.0,8,11
PS434,6,5.0,4,5
PS434,8,12.0,9,12
PS435,10,1.0,1,1
PS604,1,2.0,2,2
PS604,2,1.0,1,1
PS608,2,2.0,2,2
PS610,8,1.0,1,1
PS623,8,3.0,3,3
PS703,1,1.0,1,1
PS706,1,1.0,1,1
PS709,1,74.0,47,57
PS709,2,13.0,11,11
PS709,3/4,11.0,5,7
PS711,1,11.0,5,5
PS712,1,51.0,29,39
PS712,2,13.0,11,12
PS713,1,23.0,19,22
PS713,2,7.0,7,7
PS715,1,2.0,2,2
PS715,2,2.0,2,2
PS717,1,4.0,4,4
PS718,1,23.0,16,19
PS719,1,72.0,39,49
PS719,2,48.0,18,36
PS720,1,1.0,1,1
PS720,2,1.0,1,1
PS721,1,2.0,2,2
PS721,2,1.0,1,1
PS723,1,3.0,3,3
PS726,1,2.0,1,1
PS731,1,5.0,4,4
PS732,1,14.0,14,14
PS902,12,2.0,2,2
PS902,14,1.0,1,1
PS902,16,1.0,1,1
PS902,2,1.0,1,1
PS902,24,1.0,1,1
PS902,4,2.0,2,2
PS902,8,6.0,5,6
PS903,4,1.0,1,1
PS904,14,2.0,1,2
PS907,24,1.0,1,1
PS915,8,1.0,1,1
PS921,20,1.0,1,1
PS921,24,1.0,1,1
